round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
1,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
1,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
2,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
2,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
3,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
3,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
4,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
4,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
5,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
5,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
6,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
6,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
7,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
7,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
8,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
8,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
9,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
9,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
10,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
10,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
11,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
11,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
12,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
12,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
12,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
13,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
13,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
14,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
14,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
15,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
15,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
16,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
16,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
17,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
17,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
17,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
18,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
18,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
19,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
19,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
19,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
20,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
20,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
20,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
21,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
21,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
21,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
22,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
22,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
22,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
23,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
23,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
23,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
24,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
24,2,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
25,0,0.16009,0.08004,0.5,0.138,0.16009,0.16009,0.16009
25,1,0.83991,0.41996,0.5,0.4565,0.83991,0.83991,0.83991
